,Unnamed: 0,Country,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
255,24244,mx,otatitlan,18.2,-96.033333,71.92,98,92,6.4
256,24282,mx,parras,25.416667,-102.183333,,,,
257,24416,mx,sanctorum,19.1,-98.25,50.86,85,0,5.28
258,24465,mx,san nicolas,20.483333,-99.916667,51.76,59,0,1.92
259,24480,mx,santa ana,30.55,-111.116667,45.64,52,8,2.59
260,24524,mx,soltepec,19.116667,-97.7,49.24,87,24,4.61
261,24592,mx,tecolutla,20.483333,-97.016667,55.27,95,0,1.7
262,24610,mx,temamatla,19.2,-98.883333,60.8,59,5,9.17
263,24722,mx,tlacotepec,20.066667,-97.866667,50,66,5,2.37
264,24859,mx,villamar,20.016667,-102.6,51.04,66,0,2.37
265,24917,mx,zacatepec,18.65,-99.2,55,99,92,2.04
266,24927,mx,zanatepec,16.483333,-94.35,,,,
267,24954,mx,zozocolco,20.116667,-97.566667,,,,
268,24962,my,ayer keroh,2.2654,102.2801,89.6,62,75,5.82
269,24977,my,bidor,4.116667,101.283333,91.4,59,75,5.82
270,25169,nc,ouegoa,-20.35,164.43333330000004,79.75,83,80,4.94
271,25176,nc,poya,-21.35,165.15,77.23,100,36,16.24
272,25245,ng,calabar,4.9517,8.322000000000001,77.14,98,100,3.94
273,25287,ng,ilesha,8.916667,3.416667,73.63,94,80,4.61
274,25288,ng,ilobu,7.833333,4.483333,72.46,97,56,5.5
275,25316,ng,makurdi,7.7411,8.5121,78.13,82,20,10.54
276,25416,ni,rio blanco,12.9333333,-85.2166667,71.11,86,24,2.59
277,25750,nl,zuidhorn,53.25101,6.408798,37.4,100,90,3.36
278,25886,no,hoyanger,61.216667,6.0833330000000005,37.4,100,75,11.41
279,25901,no,kaupanger,61.183333,7.233333,30.2,100,75,11.41
280,25981,no,nesbyen,60.566667,9.1,18.01,87,36,2.93
281,26037,no,seljord,59.483333,8.616667,23,85,0,2.24
282,26086,no,storsteinnes,69.233333,19.233333,28.4,92,75,8.05
283,26132,no,vardo,70.366667,31.1,15.8,72,75,14.99
284,26270,nz,pareora,-44.5,171.2,53.38,100,92,11.21
285,26275,nz,raglan,-37.8,174.883333,68.41,88,8,11.43
286,26277,nz,ranfurly,-45.133333,170.1,45.91,100,92,4.38
287,26361,pa,bisira,8.9,-81.8666667,65.89,98,0,2.59
288,26629,pe,chulucanas,-5.0925,-80.1625,71.2,73,0,3.83
289,26686,pe,laredo,-8.1,-78.95,66.2,93,75,6.93
290,26696,pe,mala,-12.65,-76.6333333,65.26,98,8,5.28
291,27013,ph,altavas,11.538,122.487,82.27,77,0,5.06
292,27021,ph,amaga,8.530833,126.070278,82.27,77,0,5.06
293,27067,ph,apalit,14.953333,120.77,91.4,41,75,6.93
294,27177,ph,bahile,9.996,118.7857,91.4,55,20,11.41
295,27443,ph,binday,16.1271,120.4525,86.41,50,0,4.94
296,27512,ph,boston,7.871111,126.364167,81.19,100,36,10.09
297,27532,ph,buenavista,10.1776,123.6013,82.54,92,76,6.29
298,27534,ph,buenavista,13.255115,121.941492,82.54,92,76,6.29
299,27575,ph,bulawen,15.4173,119.9564,,,,
300,27744,ph,calolbon,13.595999999999998,124.0991,81.19,99,56,9.42
301,27764,ph,camandag,10.333333,123.066667,90.19,47,0,11.43
302,27863,ph,casian,11.035,119.7136,82.54,100,0,10.2
303,27935,ph,concepcion,13.926667000000002,121.493333,91.4,41,75,6.93
304,28140,ph,esmeralda,15.867222,120.715,91.18,54,0,8.75
305,28176,ph,gamay,12.3638,125.2366,81.64,100,68,11.43
306,28232,ph,guiljungan,9.9805,122.6742,84.34,96,0,12.44
307,28652,ph,liloan,11.0422,124.5502,84.2,79,40,11.41
308,28661,ph,limot,7.040502,126.272683,89.6,62,75,9.17
309,28813,ph,macalamcam,13.85,121.316667,,,,
310,28884,ph,makiling,10.780944,123.393803,89.6,59,75,6.93
311,28886,ph,makiwalo,12.5101,124.706,82.36,100,8,11.88
312,28923,ph,malbago,9.7327,123.3402,82.9,96,8,9.42
313,29074,ph,masiga,13.3607,121.8278,83.44,95,12,6.29
314,29113,ph,mayo,7.002105,126.331983,83.26,94,8,7.96
315,29287,ph,olongapo,14.8373,120.2868,89.6,55,20,11.41
316,29452,ph,patao,11.2202,123.6925,82.09,100,8,9.75
317,29456,ph,paticui,10.237,122.8993,86.68,61,0,2.93
318,29572,ph,prosperidad,10.515963,123.308502,83.53,78,64,9.08
319,29713,ph,salinungan,16.869057,121.614542,,,,
320,29812,ph,san francisco,13.316667,123.75,82.63,100,0,4.72
321,30067,ph,santa maria,18.149481,121.661252,81.19,74,12,7.63
322,30115,ph,santo domingo,13.42,123.4486,82.99,79,12,3.6
323,30294,ph,taboc,8.878333,124.7975,82.81,85,32,9.42
324,30385,ph,talugtug,15.7778,120.8111,91.18,54,0,8.75
325,30439,ph,tarlac,15.489449,120.591932,91.4,41,75,6.93
326,30460,ph,tebag,15.9678,120.466,91.18,54,0,8.75
327,30576,ph,tuli,7.233333,125.416667,89.6,62,75,9.17
328,30728,pk,darya khan mari,26.677475,68.28590200000001,,,,
329,30910,pk,nowshera,34.005823,71.997727,73.4,43,75,6.93
330,30971,pk,shujaabad,29.879668,71.29313,66.2,77,75,9.19
331,30980,pk,sukheke,31.880703000000004,73.472447,,,,
332,30990,pk,tando muhammad khan,25.123007,68.53577299999999,86.14,32,0,6.4
333,30991,pk,tangi,34.300556,71.653611,73.4,43,75,6.93
334,31030,pl,bielawa,50.686712,16.621677,26.6,86,20,8.05
335,31124,pl,jaworzno,50.206025,19.270062,28.4,68,90,11.41
336,31292,pl,pszczyna,49.976483,18.947323,28.4,68,90,11.41
337,31309,pl,ropczyce,50.05257,21.609053,26.6,86,90,10.29
338,31391,pl,ustrzyki dolne,49.430858,22.584761,18.19,75,80,3.83
339,31393,pl,wadowice,49.884086,19.491489,28.4,74,75,8.05
340,31532,pt,buarcos,40.16603900000001,-8.876800999999997,37.4,93,0,1.12
341,31630,pt,lagoa,37.135349,-8.453188,46.4,65,0,6.93
342,31642,pt,lobao,40.986643,-8.485659,39.2,78,0,2.24
343,31735,pt,portimao,37.136636,-8.539796,46.4,65,0,6.93
344,31740,pt,povoa de lanhoso,41.577713,-8.268467999999999,35.6,80,0,5.82
345,31821,pt,sobreda,38.649608,-9.189766,46.4,61,0,12.75
346,32025,py,villeta,-25.466667,-57.6,66.2,100,90,6.93
347,32144,ro,aricestii-zeletin,45.216667,26.166667,,,,
348,32184,ro,baia de arama,45.0,22.806667,29.89,87,92,2.48
349,32275,ro,bautar,45.516667,22.566667,26.83,94,88,3.15
350,32361,ro,bogdanesti,46.216667,26.683333,23,79,20,17.22
351,32558,ro,caransebes,45.416667,22.216667,27.82,91,88,3.38
352,32756,ro,cornetu,44.341667,25.940833,23,100,90,10.29
353,32766,ro,cosambesti,44.566667,27.433333,22.51,80,12,5.39
354,32925,ro,dognecea,45.274167,21.756944,32,92,75,6.93
355,32947,ro,draganesti,45.783333,27.466667,24.85,90,64,5.5
356,33326,ro,isalnita,44.4,23.733333,32,100,90,5.82
357,33363,ro,jugureni,45.1,26.45,23,92,90,11.41
358,33443,ro,lunca,46.516667,22.466667,24.94,90,88,2.93
359,33469,ro,magherani,46.566667,24.9,30.2,86,90,2.24
360,33479,ro,maguri-racatau,46.633333,23.133333,,,,
361,33505,ro,manoleasa,47.983333,27.066667,23,79,20,17.22
362,33571,ro,mihaileni,47.966667,26.15,26.6,79,20,17.22
363,33779,ro,pancesti,46.333333,27.083333000000003,28.4,86,90,5.82
364,33796,ro,partestii de jos,47.633333,25.966667,23,79,20,17.22
365,33907,ro,poieni,46.916667,22.9,28.4,86,90,5.82
366,33910,ro,polovragi,45.18333300000001,23.8,28.27,86,92,2.93
367,33955,ro,pui,45.516667,23.1,26.83,94,88,3.15
368,34115,ro,samarinesti,44.75,23.05,29.89,87,92,2.48
369,34223,ro,seleus,46.383333,21.716667,32,94,75,10.29
370,34225,ro,semlac,46.116667,20.933333,32,93,75,10.29
371,34313,ro,somes-odorhei,47.316667,23.266667,28.4,92,75,3.36
372,34354,ro,stelnica,44.416667,27.883333,30.2,92,90,10.29
373,34404,ro,suseni,44.716667,24.95,23.23,82,20,1.7
374,34520,ro,toporu,44.010556,25.652778,23,100,90,10.29
375,34687,ro,vatra moldovitei,47.65,25.566667,23,79,20,17.22
376,34754,ro,voinesti,46.566667,27.416667,28.4,74,75,8.05
377,34760,ro,vorniceni,47.983333,26.666667,26.6,79,20,17.22
378,34826,rs,banatsko novo selo,44.989722,20.783611,30.2,92,75,5.82
379,34838,rs,beocin,45.198333,19.7225,30.2,92,75,5.82
380,34916,rs,lebane,42.923889,21.7375,32,96,90,14.99
381,34922,rs,loznica,44.534167,19.224167,28.4,100,90,4.7
382,35011,rs,subotica,46.1,19.666667,30.2,74,90,9.17
383,35039,rs,vrcin,44.668611,20.594167,30.2,100,75,8.05
384,35078,ru,agirish,61.924722,63.023056,21.43,77,88,5.17
385,35120,ru,alekseyevka,52.584,51.28,10.4,78,20,4.47
386,35250,ru,babushkin,51.712222,105.864722,30.79,67,0,2.71
387,35370,ru,bereslavka,48.62541,44.044914,26.6,100,90,17.9
388,35765,ru,dugulubgey,43.6625,43.536944,50,93,90,4.47
389,35795,ru,egvekinot,66.31666700000001,-179.166667,-3.23,73,68,2.15
390,35857,ru,gavrilov-yam,57.301852,39.853313,21.43,94,88,4.94
391,36097,ru,kadyy,57.787037,43.190288,18.01,95,64,4.38
392,36218,ru,kasumkent,41.677248,48.146009,48.43,66,8,2.71
393,36404,ru,kodino,63.719756,39.644651,-1.97,59,0,2.71
394,36429,ru,komarichi,52.4151,34.7905,13.87,89,88,4.72
395,36586,ru,krasnovka,48.817686,40.092261,35.02,97,92,13.67
396,36671,ru,kulebaki,55.413333,42.5325,16.39,76,88,3.38
397,36673,ru,kuli,42.018451,47.243422,32.14,50,0,7.07
398,36726,ru,kuybyshevskiy zaton,55.1593,49.1701,10.4,60,0,8.95
399,36737,ru,kuznetsk,53.11675,46.600368,17.11,87,92,6.85
400,36753,ru,kyzyl-oktyabr,43.825701,41.786047,,,,
401,36812,ru,letnyaya stavka,45.430556,43.447222,51.04,78,36,23.29
402,36883,ru,lyamino,58.2839,57.725,13.24,87,68,11.77
403,36921,ru,malino,55.111952,38.173843,28.4,58,40,6.71
404,37243,ru,nizhniy ingash,56.2003,96.5373,29.98,74,56,5.61
405,37270,ru,novaya ladoga,60.102457,32.30191,16.03,78,80,8.75
406,37281,ru,novki,56.363864,41.086548,18.19,80,88,3.27
407,37362,ru,novotalitsy,57.009373,40.850897,,,,
408,37517,ru,otradnoye,59.7775,30.818056,15.8,78,75,8.95
409,37543,ru,paranga,56.703889,49.404722,18.73,92,76,5.39
410,37731,ru,porechye-rybnoye,57.098053,39.383536,20.62,84,76,3.04
411,37958,ru,saint petersburg,59.89444399999999,30.264167,15.8,78,75,8.95
412,38194,ru,skopin,53.824856,39.550528,16.21,87,92,6.85
413,38240,ru,solginskiy,61.05,41.342778,-1.07,67,0,3.27
414,38467,ru,takhtamygda,54.1,123.566667,44.56,52,0,3.38
415,38527,ru,temizhbekskaya,45.445556,40.845,45.55,76,76,26.19
416,38530,ru,temryuk,45.270547,37.387161,42.8,75,40,15.66
417,38600,ru,troitskoye,55.3,38.533333,36.01,98,92,5.39
418,38759,ru,uspenskoye,44.8311,41.3927,48.2,66,0,31.32
419,38881,ru,verkhniy uslon,55.7701,48.9823,10.4,60,0,8.95
420,38894,ru,verkhoturye,58.862706,60.805363,21.34,66,0,8.97
421,38909,ru,vetluzhskiy,58.390162,45.465425,17.47,78,8,3.6
422,39224,ru,zaymishche,52.7264,32.2334,17.74,95,88,6.96
423,39319,rw,kigali,-1.9536111,30.060555600000004,66.2,88,75,2.24
424,39467,se,sala,59.916667,16.6,24.8,73,36,6.93
425,39499,se,vetlanda,57.433333,15.066667,19.4,79,0,5.82
426,39500,se,visby,57.63333299999999,18.3,28.4,68,0,10.29
427,39570,si,radovljica,46.34444439999999,14.174444400000002,28.4,86,90,4.7
428,39600,si,velenje,46.3591667,15.110277800000002,35.6,76,0,11.41
429,39623,sk,cadca,49.4333333,18.7833333,28.4,85,90,2.24
430,39636,sk,hrinova,48.5833333,19.5333333,24.8,73,20,2.24
431,39649,sk,levice,48.21666670000001,18.6,24.8,73,20,2.24
432,39735,sl,bomi,7.2461110999999985,-11.525833300000002,76.33,94,100,2.93
433,40220,th,non sang,16.868696,102.566422,86,57,75,6.93
434,40221,th,non sung,15.180139000000002,102.256945,84.2,62,75,9.17
435,40240,th,phayakkhaphum phisai,15.516306,103.193667,78.8,69,75,9.17
436,40520,tr,bismil,37.848611,40.665833,60.8,55,0,11.41
437,40527,tr,bozuyuk,39.907778,30.036667,42.8,67,0,4.7
438,40609,tr,islahiye,37.025,36.630556,59,62,0,12.75
439,40620,tr,karacabey,40.215251,28.403778000000006,53.74,78,0,9.98
440,40721,tr,tokat,40.313889,36.554444,51.8,81,0,2.24
441,41098,tz,tanga,-5.0666667,39.1,80.11,82,32,8.08
442,41288,ua,hlukhiv,51.678221,33.916204,15.49,89,88,4.5
443,41386,ua,kosmach,48.329906,24.820519,23,79,0,8.95
444,41558,ua,novyy svit,45.477545,36.297373,29.98,99,76,16.8
445,41717,ua,shyroke,47.69173,33.257145,32.23,98,56,17.81
446,41729,ua,smila,49.22242,31.887138,22.33,83,76,14.45
447,41733,ua,sobolivka,49.336044,28.650964,22.15,91,80,14.45
448,41765,ua,subottsi,48.655452,32.520928999999995,21.88,92,68,14.79
449,41864,ua,vylkove,45.40214,29.585946000000003,23.86,79,32,4.27
450,41972,ug,kiboga,0.9161110999999998,31.7741667,65.35,100,68,5.28
451,42027,us,daphne,30.6033333,-87.90361109999998,53.6,66,1,8.05
452,42063,us,prichard,30.738611100000004,-88.07888890000002,53.6,81,1,3.36
453,42155,us,forrest city,35.00805560000001,-90.7897222,44.6,81,68,4.7
454,42249,us,cerritos,33.8583333,-118.0638889,64.4,45,90,3.36
455,42565,us,soledad,36.4247222,-121.3252778,55.4,81,90,21.92
456,42585,us,tehachapi,35.1322222,-118.4480556,55.4,100,75,8.05
457,42706,us,fairfield,41.1411111,-73.2641667,53.6,100,90,6.93
458,42779,us,auburndale,28.065,-81.7888889,64.4,77,1,11.41
459,42869,us,jacksonville,30.3319444,-81.6558333,60.8,59,1,9.17
460,42879,us,kings point,26.445,-80.14,39.2,38,90,16.11
461,43068,us,douglas,31.508611100000003,-82.85,57.2,66,75,11.41
462,43142,us,aiea,21.3822222,-157.9336111,73.4,69,75,10.29
463,43417,us,bluffton,40.7386111,-85.1716667,30.2,68,90,18.34
464,43580,us,elizabethtown,37.6938889,-85.8591667,35.6,51,40,16.11
465,43755,us,crofton,39.0016667,-76.68777779999998,33.8,92,90,11.41
466,43825,us,salisbury,38.36055560000001,-75.5997222,39.2,93,90,13.87
467,44030,us,big rapids,43.6980556,-85.48361109999998,26.6,57,1,5.82
468,44043,us,eastpointe,42.4683333,-82.9555556,32,63,1,5.82
469,44235,us,corinth,34.9341667,-88.5222222,55.4,46,1,2.71
470,44340,us,webb city,37.1463889,-94.4627778,39.2,86,1,3.36
471,44468,us,plaistow,42.8363889,-71.09527779999998,33.8,74,1,5.82
472,44528,us,fort lee,40.8508333,-73.9705556,39.2,38,90,16.11
473,44596,us,phillipsburg,40.69361110000001,-75.1905556,30.2,100,1,5.82
474,44695,us,arlington,41.6958333,-73.8972222,55.4,80,1,2.71
475,44808,us,north lindenhurst,40.7141667,-73.3819444,39.2,40,90,13.87
476,44827,us,port chester,41.0016667,-73.6661111,39.2,38,90,16.11
477,45018,us,elyria,41.3683333,-82.1077778,33.8,92,90,11.41
478,45202,us,canby,45.2630556,-122.6913889,46.4,52,20,2.15
479,45275,us,east stroudsburg,40.9994444,-75.18166670000002,37.4,40,90,16.11
480,45598,us,beeville,28.400555600000004,-97.7480556,55.4,58,1,5.82
481,45627,us,converse,29.5177778,-98.3158333,44.6,93,1,5.73
482,45657,us,frisco,33.150555600000004,-96.8233333,55.4,46,1,2.93
483,45670,us,haltom city,32.7994444,-97.2688889,55.4,80,1,2.71
484,45693,us,kilgore,32.3861111,-94.8755556,51.8,93,1,6.62
485,45759,us,rockwall,32.9311111,-96.4594444,55.4,53,1,2.93
486,45888,us,williston,44.4375,-73.0686111,26.6,92,20,7.52
487,46021,us,mount vernon,48.4213889,-122.3327778,33.8,92,90,11.32
488,46038,us,richland,46.2858333,-119.28333329999998,39.2,80,1,4.7
489,46068,us,charleston,38.3497222,-81.6327778,39.2,100,90,10.29
490,46118,us,manitowoc,44.0886111,-87.6575,28.4,58,1,10.29
491,46123,us,menomonie,44.87555560000001,-91.9191667,26.6,68,1,3.36
492,46164,us,wauwatosa,43.0494444,-88.0075,32,68,75,10.29
493,46281,uz,urtaaul,41.1866667,69.14527779999999,,,,
494,46289,vc,kingstown,13.133333300000002,-61.21666670000001,79.57,91,44,16.02
495,46342,ve,la victoria,10.233333300000002,-67.33333329999999,71.6,94,20,3.36
496,46360,ve,punta cardon,11.6580556,-70.215,75.16,66,8,17.92
497,46502,ws,satapuala,-13.8333333,-171.9666667,82.4,74,75,8.05
498,46557,za,brakpan,-26.236561,28.369378,71.6,77,12,4.83
499,46561,za,brits,-25.634731,27.780224,73.4,88,0,5.82
