,Country,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,am,agarak,39.2038889,46.5472222,57.34,40,24,3.83
1,at,radstadt,47.383333,13.45,24.8,79,75,3.36
2,at,seewalchen,47.95,13.583333,24.8,79,75,3.36
3,at,strasshof,48.316667,16.666667,,,,
4,at,trofaiach,47.416667,15,24.8,79,36,2.24
5,au,parkes,-33.137199,148.175903,77.23,49,32,15.68
6,ba,donja mahala,45.0469444,18.6663889,39.2,100,75,8.05
7,ba,stupari,44.3147222,18.6841667,28.4,100,90,4.7
8,bd,abhaynagar,23.0166667,89.4666667,93.07,47,0,7.52
9,bd,bera,24.0833333,89.6166667,88.21,50,0,5.28
10,bd,bhairab bazar,24.0666667,90.9666667,89.6,46,0,4.38
11,bd,ishurdi,24.1333333,89.0833333,88.21,67,0,4.16
12,be,aywaille,50.466667,5.666667,30.2,92,75,4.7
13,be,bernissart,50.466667,3.633333,32,88,64,3.36
14,be,eghezee,50.6,4.9,32,80,90,1.12
15,be,gent,51.05,3.716667,32,92,90,1.12
16,be,glabbeek,50.866667,4.95,32,86,75,2.24
17,be,kortenberg,50.883333,4.533333,32,86,75,3.38
18,be,lochristi,51.1,3.833333,32,92,90,1.12
19,be,merelbeke,51,3.75,32,91,80,3.36
20,be,oud-turnhout,51.316667,4.983333,32,100,90,2.24
21,bf,gaoua,10.2991667,-3.2508333,73.09,92,56,7.18
22,bf,kombissiri,12.0655556,-1.3375,87.8,52,20,9.17
23,bg,galabovo,42.1333333,25.85,37.54,100,88,4.61
24,bg,sevlievo,43.0258333,25.1136111,32,83,92,4.7
25,bi,bururi,-3.9511111,29.6166667,71.56,100,48,2.71
26,bi,ngozi,-2.9083333,29.8277778,63.01,99,80,3.27
27,br,araguari,-18.633333,-48.183333,73.4,73,0,8.05
28,br,areia branca,-10.766667,-37.316667,80.6,78,40,10.29
29,br,bage,-31.333333,-54.1,54.55,78,0,9.08
30,br,barra do bugres,-15.083333,-57.183333,73,97,68,1.59
31,br,boca da mata,-9.6,-36.25,75.2,88,0,3.36
32,br,carazinho,-28.3,-52.8,56.98,99,44,5.61
33,br,carire,-3.95,-40.45,72.91,94,24,5.17
34,br,carmo do rio claro,-20.966667,-46.116667,66.79,100,76,3.15
35,br,espirito santo do pinhal,-22.2,-46.75,66.88,92,20,3.38
36,br,general salgado,-20.65,-50.366667,76.87,81,68,2.15
37,br,gloria do goita,-8.016667,-35.283333,80.6,74,20,5.82
38,br,itapuranga,-15.583333,-49.983333,69.94,93,56,2.71
39,br,itaqui,-29.133333,-56.55,58.15,88,0,4.72
40,br,jaragua,-15.75,-49.333333,68,94,40,2.24
41,br,junqueiropolis,-21.533333,-51.433333,74.08,84,8,2.71
42,br,lagoa formosa,-18.783333,-46.4,65.26,98,20,3.04
43,br,massape,-3.516667,-40.316667,,,,
44,br,queimados,-22.722897,-43.556316,80.6,74,75,14.99
45,br,santa isabel,-23.3158,-46.2241,68,100,75,4.7
46,br,vassouras,-22.406111,-43.664167,80.6,74,75,14.99
47,br,xaxim,-26.933333,-52.516667,65.89,99,48,2.93
48,bw,gabane,-24.6666667,25.7822222,71.6,68,0,8.05
49,ca,charlottetown,46.233333,-63.133333,24.8,68,5,6.93
50,ca,cookshire,45.416667,-71.616667,,,,
51,ca,gaspe,48.833333,-64.483333,28.4,58,5,6.93
52,ca,rosetown,51.55,-107.983333,10.81,61,20,4.16
53,ca,saint quentin,47.5,-67.383333,,,,
54,cf,alindao,5.0333333,21.2166667,71.83,88,88,4.94
55,ch,aarau,47.389616,8.052354,32,86,75,11.41
56,ch,arth,47.06337,8.523485,30.2,86,75,1.12
57,ch,schubelbach,47.173785,8.927867,32,86,90,4.7
58,ch,trimbach,47.365605,7.886797,32,86,75,11.41
59,ch,winterthur,47.500035,8.7251,32,86,90,4.7
60,ci,agboville,5.92801,-4.213186,72.46,94,0,2.93
61,ci,agnibilekrou,7.131132,-3.204147,72.82,96,0,5.73
62,cl,vilcun,-38.65,-72.233333,36.82,77,0,2.26
63,cm,melong,5.1166667,9.95,60.76,91,36,2.82
64,cm,tchollire,8.4,14.1666667,83.71,53,100,3.38
65,cn,beibei,29.825556,106.433889,69.8,52,40,6.71
66,cn,daan,29.382222,106.015,62.29,51,24,2.93
67,cn,duyun,26.266667,107.516667,50.23,70,92,4.83
68,cn,jinxi,40.764317,120.85327,55.09,78,8,7.63
69,cn,keshan,48.066667,125.9,,,,
70,cn,suining,30.508017,105.573324,65.89,75,48,8.08
71,cn,taian,36.185278,117.12,,,,
72,cn,wuchang,44.914282,127.150007,31.78,93,0,3.15
73,cn,yunhe,34.311389,117.950278,53.56,53,0,3.94
74,co,caracoli,6.409196,-74.757153,77.59,100,92,6.4
75,co,florencia,1.614382,-75.606229,64.54,98,36,2.48
76,co,giraldo,6.683056,-75.989167,61.48,96,68,2.04
77,cr,atenas,9.978058,-84.380319,69.8,68,40,11.41
78,cu,colombia,20.9880556,-77.4297222,73.4,88,20,3.36
79,cu,cumanayagua,22.1494444,-80.2022222,69.8,100,0,4.7
80,cu,minas,21.4833333,-77.6166667,73.4,88,20,3.36
81,cu,san antonio de los banos,22.8911111,-82.4991667,68,100,20,1.12
82,cy,empa,34.8083333,32.425,,,,
83,cz,boskovice,49.490899,16.659172,28.4,79,75,11.41
84,cz,ceska lipa,50.686736,14.538125,26.6,79,0,6.93
85,cz,nydek,49.659767,18.763336,28.4,86,75,10.29
86,cz,plana,49.867527,12.74151,26.6,79,20,2.24
87,cz,vratimov,49.768571,18.315002,28.4,86,75,10.29
88,de,bad aibling,47.866667,12,28.4,79,75,6.93
89,de,baunatal,51.25,9.416667,23,85,20,3.36
90,de,delbruck,51.766667,8.566667,24.8,85,0,4.7
91,de,eichenau,48.166667,11.316667,28.4,100,75,8.05
92,de,finnentrop,51.166667,7.966667,24.8,85,0,6.93
93,de,garching,48.25,11.65,,,,
94,de,guben,51.95,14.716667,21.16,76,0,6.29
95,de,hosbach,50,9.2,30.2,79,0,3.36
96,de,kummersbruck,49.419167,11.888333,24.8,92,1,9.08
97,de,leutkirch,47.825,10.016667,32,92,75,10.29
98,de,lunen,51.616667,7.516667,28.4,85,0,6.93
99,de,niederkruchten,51.2,6.216667,32,92,90,5.82
100,de,niederzier,50.883333,6.466667,30.2,86,40,8.05
101,de,rheinau,48.866667,8.2,28.4,100,0,6.93
102,de,schwarzenbach,50.216667,11.933333,26.6,79,1,5.73
103,de,starnberg,48,11.35,28.4,100,75,8.05
104,de,usingen,50.333333,8.533333,30.2,63,1,6.93
105,de,waldbrol,50.883333,7.616667,26.6,79,0,1.12
106,de,waldkirchen,48.733333,13.6,21.2,79,20,2.24
107,dk,rodby,54.694952,11.38885,32.59,98,36,13.44
108,dz,tazmalt,36.3872222,4.4016667,44.6,100,75,11.41
109,ee,kilingi-nomme,58.1502778,24.9641667,19.4,67,0,5.82
110,ee,kuusalu,59.4438889,25.4413889,19.4,62,0,4.7
111,ee,olustvere,58.5536111,25.5627778,19.4,67,0,5.82
112,eg,benha,30.4608333,31.1875,,,,
113,es,la linea,36.168024,-5.347195,,,,
114,es,pilas,37.303373,-6.300969,42.8,73,0,6.93
115,es,torello,42.048215,2.263955,32,74,20,1.12
116,es,torrevieja,37.978718,-0.682222,44.6,42,0,9.17
117,es,valdemoro,40.189007,-3.675662,37.4,55,0,10.29
118,es,villanueva de la serena,38.976552,-5.797398,27.91,77,0,2.71
119,es,zaragoza,41.64531,-0.884861,37.4,59,0,24.16
120,fi,tornio,65.85,24.183333,5,84,0,1.12
121,fr,auch,43.645401,0.587933,33.8,80,0,11.41
122,fr,bergerac,44.852547,0.484862,30.2,80,0,4.7
123,fr,canteleu,49.440654,1.024586,33.8,92,80,2.24
124,fr,colomiers,43.613709,1.334631,33.8,74,0,12.75
125,fr,eragny,49.016667,2.1,33.8,100,20,9.17
126,fr,graulhet,43.762838,1.988349,35.6,74,0,12.75
127,fr,joinville-le-pont,48.82538,2.474576,33.8,89,75,6.93
128,fr,le chambon-feugerolles,45.396887,4.325923,33.8,79,40,10.29
129,fr,marmande,44.500371,0.16546,33.8,80,0,4.7
130,fr,neuilly-sur-seine,48.883333,2.266667,33.8,89,75,6.93
131,fr,romilly-sur-seine,48.510852,3.726338,30.2,74,0,8.05
132,fr,saint-priest,45.696125,4.938915,33.8,64,0,21.92
133,fr,selestat,48.259323,7.454285,28.4,86,0,6.93
134,gb,bentley,53.533333,-1.15,32,82,0,5.82
135,gb,bridgend,51.505833,-3.577222,33.8,86,12,5.82
136,gb,kingussie,57.083333,-4.05,41,75,20,23.04
137,gb,maud,57.516667,-2.1,35.6,69,24,4.7
138,ge,didi lilo,41.7363889,44.9658333,55.4,62,40,39.15
139,gh,berekum,7.45,-2.5833333,72.64,96,8,7.63
140,gh,salaga,8.55,-0.5166667,78.49,87,12,8.75
141,gn,tougue,11.45,-11.6833333,68.95,64,36,3.38
142,gp,anse-bertrand,16.4666667,-61.5,77,78,0,8.05
143,gr,athira,40.8252778,22.5833333,,,,
144,gr,ayios nikolaos,40.25,23.7,53.6,87,0,3.49
145,gr,doliana,39.9019444,20.5794444,57.2,100,90,1.25
146,gr,karpokhorion,39.3333333,22.0166667,42.8,87,20,4.7
147,gr,kato skholarion,40.4333333,23.0333333,55.4,47,20,8.05
148,gr,kimmeria,41.15,24.9333333,51.8,87,40,8.05
149,gr,krionerion,40.8166667,23.2833333,,,,
150,gr,sinarades,39.5647222,19.8458333,57.2,87,90,18.34
151,gt,chinautla,14.708333,-90.499444,68,56,0,9.17
152,gt,cunen,15.3375,-91.026944,56.17,92,76,1.14
153,gt,pachalum,14.924722,-90.662778,68,56,0,9.17
154,gt,panajachel,14.733333,-91.15,68,56,0,9.17
155,gt,petapa,14.502778,-90.551667,68,56,0,9.17
156,gt,san jose,16.983333,-89.9,75.52,76,36,4.5
157,hn,el guapinol,13.7666667,-87.4666667,77,68,0,0.92
158,hn,punta ocote,15.2,-87.2833333,61.3,73,20,1.59
159,hu,buj,48.1,21.65,12.97,60,48,3.27
160,hu,felsotarkany,47.966667,20.416667,21.16,82,12,2.37
161,hu,heviz,46.788778,17.183333,30.2,63,0,14.99
162,hu,labatlan,47.74735,18.496226,30.2,92,75,3.36
163,hu,opalyi,47.997712,22.32617,24.8,92,75,3.36
164,hu,pakozd,47.213694,18.533055,30.2,92,75,3.36
165,hu,paks,46.62648,18.859624,28.27,96,88,7.63
166,hu,per,47.611528,17.806317,26.6,79,0,4.7
167,hu,pusztavam,47.429478,18.22648,26.6,79,0,4.7
168,hu,szalkszentmarton,46.975654,19.011775,30.2,92,75,3.36
169,hu,szentendre,47.664712,19.068063,30.2,92,75,3.36
170,hu,vac,47.780715,19.131006,30.2,92,75,3.36
171,hu,vecses,47.407047,19.286483,30.2,92,75,3.36
172,id,cibitung,-6.272222,107.103611,79.93,81,48,8.97
173,id,ciledug,-6.9142,108.7343,,,,
174,id,gamping,-7.783333,110.316667,86.59,91,20,16.69
175,id,madiun,-7.6298,111.5239,82.36,77,32,5.17
176,id,rantauprapat,2.1,99.833333,83.89,77,44,2.82
177,id,serpong,-6.316944,106.664167,84.2,74,40,21.92
178,id,teluknaga,-6.065,106.644167,84.2,74,40,21.92
179,ie,laytown,53.6819444,-6.2391667,32,100,75,5.82
180,ie,rush,53.5247222,-6.1097222,,,,
181,in,baghpat,28.95,77.216667,84.2,32,40,4.7
182,in,bodh gaya,24.7,84.983333,91.4,29,12,11.41
183,in,chhatapur,26.216667,87.016667,94.06,34,0,2.37
184,in,gundlupet,11.8,76.683333,87.76,49,0,4.16
185,in,jharia,23.75,86.4,93.07,33,0,2.93
186,in,karrapur,23.95,78.85,87.67,46,48,5.28
187,in,khapa,21.433333,78.966667,93.2,32,0,4.7
188,in,kharod,21.75,82.566667,90.01,31,0,9.64
189,in,kotaparh,19.15,82.35,93.52,35,0,6.4
190,in,mahemdavad,22.833333,72.766667,84.2,45,0,5.82
191,in,manali,13.166667,80.266667,13.33,87,68,0.92
192,in,mormugao,15.4,73.8,,,,
193,in,mursan,27.583333,77.933333,84.79,57,0,3.94
194,in,nandyal,15.483333,78.483333,95.86,29,0,4.05
195,in,narayanavanam,13.416667,79.583333,91,51,0,6.4
196,in,nohar,29.183333,74.766667,69.67,73,36,0.47
197,in,puranpur,28.516667,80.15,88.03,30,0,3.6
198,in,ranir bazar,23.833333,91.366667,89.6,46,0,4.38
199,in,raver,21.25,76.033333,92.26,31,0,5.28
200,in,rayachoti,14.05,78.75,92.17,36,0,4.27
201,in,sarka ghat,31.7,76.733333,54.46,98,88,2.93
202,in,sirkali,11.233333,79.733333,,,,
203,in,sundargarh,22.116667,84.033333,94.6,30,0,5.39
204,in,surandai,8.966667,77.4,89.56,61,0,2.37
205,in,teghra,25.483333,85.95,91.81,40,0,4.38
206,iq,kifri,34.6913889,44.9608333,70.66,40,0,4.27
207,ir,abhar,36.1468,49.218,60.94,26,8,4.16
208,ir,jahrom,28.5024,53.5534,,,,
209,ir,omidiyeh,30.7458,49.7087,75.2,33,0,4.7
210,ir,shahreza,32.0089,51.8668,58.06,30,0,3.6
211,ir,shahrud,36.418189,54.976282,55,75,0,3.38
212,it,arona,45.766667,8.566667,42.8,93,0,4.7
213,it,borgomanero,45.7,8.466667,42.8,93,75,4.7
214,it,grottaferrata,41.783333,12.666667,46.4,87,75,11.41
215,it,lavello,41.05,15.8,44.6,93,90,3.36
216,it,massafra,40.591944,17.115278,55.4,100,40,8.05
217,it,montesarchio,41.066667,14.633333,51.8,66,40,8.05
218,it,montespertoli,43.633333,11.066667,44.6,60,75,14.99
219,it,narni,42.516667,12.516667,44.6,69,20,21.92
220,it,selargius,39.256667,9.1675,48.2,87,20,4.7
221,it,selvazzano dentro,45.383333,11.783333,41,69,0,3.36
222,jo,irbid,32.555556,35.85,64.4,38,0,2.82
223,jp,imabari,34.066667,132.966667,,,,
224,jp,kudamatsu,34,131.866667,48.2,93,75,4.7
225,jp,namioka,40.707222,140.589444,41,48,75,5.82
226,jp,settsu,34.778191,135.595121,55.4,66,75,27.51
227,jp,tobe,33.733333,132.783333,50,87,75,16.11
228,jp,yaita,36.8,139.933333,30.2,100,75,10.29
229,ke,karuri,-0.7166667,37.0333333,62.6,93,75,8.05
230,ke,kijabe,-0.9333333,36.5666667,62.6,93,75,9.17
231,kz,khromtau,50.250278,58.434722,30.61,100,64,7.85
232,kz,zhanakorgan,43.915,67.248056,64.45,79,88,4.61
233,kz,zhetysay,40.733333,68.3,67.51,95,24,4.61
234,lk,badulla,6.9833333,81.05,83.98,63,0,2.93
235,ls,mokhotlong,-29.2833333,29.0833333,47.44,94,80,2.71
236,lt,obeliai,55.9666667,25.15,21.34,74,20,12.77
237,lt,pabrade,55,25.7833333,26.6,73,90,12.75
238,lt,panevezys,55.7333333,24.35,23,85,90,9.17
239,lt,ziezmariai,54.8,24.45,26.6,73,90,9.17
240,lu,bous,49.5538889,6.3291667,28.4,68,0,10.29
241,lu,fentange,49.5627778,6.1538889,28.4,68,0,10.29
242,lv,kraslava,55.9,27.1666667,22.24,71,44,14.9
243,me,ulcinj,41.928333,19.206389,,,,
244,ml,douentza,15,-2.95,64.81,54,12,4.16
245,mu,lalmatie,-20.1897222,57.6611111,86,74,20,5.82
246,mw,dowa,-13.65,33.9333333,64.4,93,40,5.82
247,mw,mangochi,-14.4666667,35.2666667,70.66,99,48,3.38
248,mx,aguascalientes,21.883333,-102.3,60.8,48,5,3.36
249,mx,cansahcab,21.166667,-89.1,77,78,75,13.87
250,mx,cuautitlan,19.671111,-99.182778,60.8,59,5,9.17
251,mx,cuilapam,17,-96.766667,,,,
252,mx,el colorado,20.566667,-100.25,59,38,5,6.06
